name,lat,lon,city,zip
O'reilly William & Co Ltd,-73.96273075,40.77380087,New York,10021
Organization of Independent Artists - Gallery 402,-74.00938579,40.71646851,New York,10013
Owen Gallery,-73.96435178,40.77400085,New York,10021
P P O W Gallerie,-74.00389261,40.7495854,New York,10001
P P O W Inc,-74.0017639,40.72290743,New York,10013
P S 122 Gallery,-73.98437148,40.72816774,New York,10009
Pace Editions,-73.99437671,40.73920195,New York,10011
Pace MacGill Gallery,-73.97202175,40.76194965,New York,10022
Pace Prints & Primitive Gallery,-73.97211462,40.76183647,New York,10022
Pace Wildenstein,-74.00495118,40.74944828,New York,10001
Pace Wildenstein,-73.97207692,40.76188607,New York,10022
Paige's Art Gallery,-73.95927393,40.8150007,New York,10027
PaineWebber Gallery,-73.98058387,40.76118894,New York,10019
Paint Can Studios,-73.92794008,40.75515787,Astoria,11106
Paley Barbara K,-73.98148007,40.76637002,New York,10019
Pall William Inc,-73.96481234,40.76450874,New York,10021
Palmer Meredith Gallery,-73.95482249,40.78563342,New York,10128
Pandora Old Masters,-73.96081641,40.76789235,New York,10021
Pardo Sheenan Galleries Ltd,-73.98156102,40.7448961,New York,10016
Parker's Box,-73.96044471,40.71430916,Brooklyn,11211
Parsons Galleries,-73.99478186,40.73539495,New York,10011
Patricia Laligant Photographs,-73.99282055,40.74676021,New York,10001
Patrick's Gallery,-73.99851017,40.74186878,New York,10011
Paul Kasmin Gallery,-74.00272286,40.75019275,New York,10001
Paula Cooper Gallery,-74.00689773,40.7469199,New York,10011
Peck Ian Fine Paintings Ltd,-73.96365013,40.77476053,New York,10021
Peder Bonnier Inc,-73.99623914,40.74405995,New York,10011
Perimeter Gallery,-74.00389939,40.74938125,New York,10001
Perlow Rich Katharina Gallery Inc,-73.97163996,40.76236541,New York,10022
Peter L Villa Fine Art,-73.97029437,40.7611697,New York,10022
Peter Rose Gallery,-73.96690495,40.76057555,New York,10022
Peters Gerald Gallery,-73.96316937,40.77566356,New York,10075
Phoenix Design Ltd,-73.77059062,40.76366855,Bayside,11361
Phoenix Gallery,-74.00599167,40.74977525,New York,10001
Phoneup,-73.99502605,40.71651672,New York,10002
Photo & Art Gallery,-73.75339447,40.6029621,Far Rockaway,11691
Photo Collection Gagliardi,-73.99269647,40.74063767,New York,10011
Photo District Gallery,-73.99310574,40.74080485,New York,10011
Phyllis Lucas Gallery Inc,-73.96795086,40.75614508,New York,10022
Picture This Corporate Art,-73.9926035,40.68324194,Brooklyn,11231
Pierogi 2000,-73.9557816,40.71875035,Brooklyn,11211
Place Des Vosges,-73.99094408,40.73276122,New York,10003
Plane Space,-74.00518363,40.73439963,New York,10014
Plaster Palace,-73.98315035,40.62575957,Brooklyn,11204
Plaza Holding Inc,-73.97575362,40.76215882,New York,10019
Plaza Holding Inc,-73.97568006,40.76226036,New York,10019
Plaza Watch & Jewelry Exchange,-73.97867414,40.76526144,New York,10019
Pleiades Gallery,-74.00477069,40.74937493,New York,10001
Plum Blossom Gallery,-74.00537358,40.75017633,New York,10001
Polizzi Fine Art,-74.02860202,40.62887622,Brooklyn,11209
Poller Leah,-73.99973976,40.72417671,New York,10012
Portara Gallery,-73.76753264,40.75653978,Bayside,11361
Portico Fine Art,-74.00082666,40.72425932,New York,10012
Portrait Gallery,-73.92228135,40.60993574,Brooklyn,11234
Postmasters Gallery,-74.0053466,40.74520243,New York,10011
Praxis International Art,-73.96513542,40.77277684,New York,10021
Prieto International Attorney In Fact Johnpoll,-74.00723565,40.71024984,New York,10038
Prince Street Gallery,-74.0046948,40.7493379,New York,10001
Professional Fine Arts Svces Inc,-73.9957317,40.74191723,New York,10011
Proposition the,-74.00714842,40.7482054,New York,10011
Public Art Fund,-73.97518754,40.76037548,New York,10022
Puerto Rican Work Shop Inc,-73.94672759,40.79269985,New York,10029
Pushman Gallery Inc,-73.97991308,40.76499909,New York,10019
Pytlak Art Studio,-73.94988527,40.71427613,Brooklyn,11211
Queen Art Publishers Inc,-74.00979549,40.72549195,New York,10013
Questroyal Fine Art,-73.96001774,40.7757238,New York,10021
Rabenou Yris Ancient Arts,-73.9638362,40.76222398,New York,10021
Radio House Gallery,-74.00698523,40.75178267,New York,10001
Rafael Gallery,-73.96484847,40.76106891,New York,10022
Rainbow Fine Art Inc,-73.96108478,40.77866481,New York,10028
Ralph Chait Galleries Inc,-73.97472467,40.76269799,New York,10019
Randel Gallery Inc,-73.96194182,40.77557044,New York,10021
Randolph & Tate Assocs,-73.9880468,40.74435684,New York,10001
Raphael Fodde Editions,-73.98997736,40.7020874,Brooklyn,11201
Rare art Gallery,-74.00368999,40.75021573,New York,10001
Raydon Gallery,-73.96032668,40.77833721,New York,10001
Red Dot,-73.9950592,40.74274458,New York,10011
Reece Galleries Inc The,-73.97570996,40.76335607,New York,10019
Reeves Contemporary Inc,-74.00518821,40.74928258,New York,10011
Regina's Art Center,-74.00172859,40.60337998,Brooklyn,11214
Rehs Galleries Inc,-73.97311044,40.762974,New York,10022
Reinhold Brown Gallery,-73.96068894,40.77864024,New York,10028
Renaissance Gallery,-73.94134747,40.82412358,New York,10039
Resnick Ira Inc,-73.96881061,40.76189453,New York,10022
Ricco Maresca Gallery,-74.00684653,40.74661225,New York,10011
Richard Gray Gallery,-73.96268744,40.77603512,New York,10021
Richard Solomon,-73.96796822,40.75490203,New York,10022
Richard York Gallery,-73.96884242,40.76764185,New York,10065
Rienzo Gallery,-73.96715177,40.7698308,New York,10021
Ritter-Antik Inc,-73.99270194,40.73250427,New York,10003
Rivington Bar & Art Gallery,-73.98443866,40.71908748,New York,10002
Robert Lee Morris Inc,-74.00236651,40.72440709,New York,10012
Robert Mann Gallery,-74.00591124,40.74974338,New York,10001
Robert Miller Gallery Inc,-74.00423399,40.74998086,New York,10001
Robert Steele Gallery,-74.00398548,40.74942346,New York,10001
Robertson African Arts,-73.99212377,40.74150835,New York,10010
Rogallerycom,-73.95726809,40.7697075,New York,10021
Ronald Feldman Fine Arts,-74.00185591,40.72116039,New York,10013
Roosevelt Island Visual Arts Assoc,-73.9564351,40.75359867,New York,10044
Rosen Andrea Gallery Inc,-74.00493762,40.74904372,New York,10011
Rosenberg & Kaufman Fine Art,-74.00070941,40.72502497,New York,10012
Rosenberg Paul & Co,-73.96251599,40.77623796,New York,10021
Ross Luise Gallery,-74.00391752,40.74945792,New York,10001
Roth,-73.96253716,40.76883963,New York,10021
Rotunda Gallery,-73.99146799,40.69515734,Brooklyn,11201
Royal Fine Art,-73.95868741,40.77550889,New York,10021
Royal-Athena Galleries,-73.96804937,40.76078611,New York,10022
Rudolph De Paola Art Gallery,-74.02172407,40.6179935,Brooklyn,11228
Ruesch Jeffrey Fine Arts,-74.00107131,40.72382475,New York,10012
Russeck Gallery,-74.00056532,40.72679316,New York,10012
Russian World,-73.97604749,40.76192574,New York,10019
S & A Art Gallery Inc,-73.95658935,40.77844643,New York,10028
S 2 Editions Ltd,-74.00479226,40.72529481,New York,10013
S E Art & Design Inc,-73.96523801,40.76074545,New York,10022
Sabarsky Serge Gallery,-73.96160397,40.77589273,New York,10021
Sabbatique Ltd,-73.97398004,40.73684452,New York,10010
Sabrina Enterprise.Com Artworks Sales and Rprdctns,-73.86790725,40.75905864,East Elmhurst,11369
Sacks Fine Art,-73.96475381,40.76182789,New York,10022
Safani Gallery Inc,-73.96369841,40.77483294,New York,10021
Salz Trager Janet,-73.96550966,40.76954041,New York,10021
Sam's Souk,-73.96253151,40.76945601,New York,10021
Sanada Ikkanart Intl,-73.95977784,40.78007652,New York,10028
Sands & Company Inc Fine Art At Madison Av,-73.96342194,40.7741378,New York,10021
Sara Meltzer On View,-73.99709363,40.72470086,New York,10012
Sarafina Inc,-73.96937268,40.69329479,Brooklyn,11205
Sarajo Inc,-73.99880177,40.72527107,New York,10012
Sarina Tang Fine Art,-74.00525478,40.74841076,New York,10011
Savacou Galleries,-73.98626836,40.73178218,New York,10003
Sayn-Wittgenstein,-73.96141027,40.77036691,New York,10021
Schellmann Editions,-74.00585462,40.74982694,New York,10001
Schickler Howard Fine Art,-73.98992302,40.70287472,Brooklyn,11201
Schillay Fine Art,-73.95267538,40.76613926,New York,10021
Schiller & Bodo Fine Art,-73.96628743,40.76612067,New York,10021
Schlesinger Gallery,-73.96547437,40.77245892,New York,10021
Scholten Japanese Art,-73.96707156,40.76771754,New York,10021
Schonfeld R D & Co Inc,-73.96698518,40.75363538,New York,10017
Sculpture Center,-73.94081427,40.74692133,Long Island City,11101
Sean Kelly Inc,-74.00306879,40.75188382,New York,10001
Sears-Peyton Gallery,-74.00579913,40.74991739,New York,10001
Seaside Summer Concert Series Inc,-73.96089004,40.65968268,Brooklyn,11225
Second Ave Art Expo,-73.96741088,40.75583142,New York,10022
Seibold Eleanor,-73.94807967,40.77506696,New York,10028
Senior & Shopmaker,-73.98681735,40.7432733,New York,10010
Sepia International Inc the,-73.9945027,40.74425013,New York,10011
Serbin Inna,-73.95440567,40.77111187,New York,10021
Serger Helen La Boetie,-73.96122592,40.77875555,New York,10028
Seven Colors,-73.97882344,40.75567804,New York,10017
Shades of Art,-73.97949384,40.68753305,Brooklyn,11217
Shainman Jack Gallery,-74.0062634,40.74636555,New York,10011
Shapolsky Anita Gallery,-73.96455977,40.76539575,New York,10021
Shawn Dulaney Studio,-73.99205567,40.74147187,New York,10010
Shepherd & Derom Galleries,-73.96166653,40.77579399,New York,10021
Shickman H Gallery,-73.95972631,40.76901768,New York,10021
Shulman B & M Inc,-73.94506548,40.60027352,Brooklyn,11229
Sigrid Freundorfer Fine Art,-73.96809593,40.76848323,New York,10021
Silverstein Gallery Inc,-74.00610392,40.7465867,New York,10011
Simply Marvelous Art,-73.79975655,40.70412221,Jamaica,11432
Skoto Gallery,-74.0068503,40.74667658,New York,10011
Sloan McGill Collection,-73.95565084,40.65961513,Brooklyn,11225
Smack Mellon Studios,-73.98985972,40.70375074,Brooklyn,11201
Smith Gallery,-74.00265775,40.74814601,New York,10011
Society For Renewal of Christian Art,-73.96219073,40.76564703,New York,10021
Soho 20,-74.00383257,40.74948118,New York,10001
Soho Photo Gallery,-74.00555633,40.71896419,New York,10013
Soldwedel Kipp,-73.970742,40.76224192,New York,10022
Soloman & Co Fine Art Gallerie,-73.96352461,40.77383485,New York,10021
Sonnabend Gallery Inc,-74.00640433,40.74753287,New York,10011
Soufer Gallery,-73.96219093,40.77578491,New York,10075
Spencer Brownstone Gallery,-74.00285195,40.72259291,New York,10013
Sperone Westwater,-73.9992624,40.72544341,New York,10012
Spring,-73.98739581,40.70224828,Brooklyn,11201
Sragow Ellen Ltd,-73.9930249,40.74652176,New York,10001
St Etienne Galerie,-73.9756284,40.76331815,New York,10019
Staley-Wise Gallery,-73.99767009,40.72388325,New York,10012
Start,-74.00158103,40.72198834,New York,10013
State of Art,-73.95791517,40.73022122,Brooklyn,11222
Steigrad Lawrence Fine Arts,-73.96622596,40.76982013,New York,10021
Stein Gertrude Gallery,-73.98049754,40.76544489,New York,10019
Stephen Downes Gallery,-73.99647297,40.72012487,New York,10013
Stewart Waltzer Co,-74.0039409,40.72871353,New York,10014
Storefront For Art and Architecture,-73.9970683,40.72147743,New York,10012
"Stricoff Fine Art, Ltd.",-74.00571078,40.74989328,New York,10001
Studio Gallery,-73.97428548,40.78933483,New York,10024
Studio Tamar,-73.98429766,40.73821552,New York,10010
Stux Gallery,-74.0048092,40.74932239,New York,10001
Sugarhill Arts Center,-73.94709267,40.8302204,New York,10031
Suite 106,-73.99892431,40.72359612,New York,10012
Sun Yi Jun,-73.99534581,40.71676282,New York,10002
Susan Aberbach Fine Art,-73.97168389,40.76228905,New York,10022
Susan Megson Gallery,-74.00081321,40.7262492,New York,10012
Susan Rolfe Associates Fine Arts Ltd,-73.97111034,40.7644843,New York,10021
Susan Sheehan Gallery,-74.00605482,40.74791171,New York,10011
Sutherland M,-73.96722779,40.76696025,New York,10021
Swiss Institute,-74.00006289,40.72224748,New York,10012
Taglialatella Dominic J,-74.00394584,40.7495251,New York,10001
Takako Tsuji Gallery,-73.97173794,40.76221205,New York,10022
Talwar Gallery,-73.98882749,40.73545815,New York,10003
Tambaran Gallery,-73.96139899,40.77879669,New York,10028
Tang Sarina,-73.96443414,40.77499081,New York,10021
Tanya Bonakdar Galery,-74.00619628,40.74717188,New York,10011
Tate,-74.00618826,40.74160877,New York,10014
Tatistcheff Gallery Inc,-74.00694992,40.74659365,New York,10011
Team Gallery,-74.0039373,40.75021954,New York,10001
Teller Susan Gallery,-73.99746436,40.72429066,New York,10012
Tenri Cultural Institute,-73.99609362,40.73640267,New York,10011
Thaw E V & Co,-73.96487148,40.77042623,New York,10021
The Affordable Art Fair Llc,-73.99907019,40.74128145,New York,10011
The Axa Gallery,-73.9817828,40.76169418,New York,10019
The Bohen Foundation,-74.00650281,40.74080796,New York,10014
The Chinese Art Gallery,-73.96565695,40.75795522,New York,10022
The Dollhaus Art Gallery,-73.96728726,40.71090184,Brooklyn,11211
The Gallery 172,-73.8749194,40.8315804,Bronx,10472
The Old Print Shop Inc,-73.98210768,40.74374126,New York,10016
The Phatory Llc,-73.97947469,40.72572166,New York,10009
The Q Department,-74.00036768,40.71966311,New York,10013
The Scene Gallery,-73.99097517,40.72106206,New York,10002
Thicket,-74.00824905,40.71858122,New York,10013
Think Art Gallery,-73.99403189,40.75466722,New York,10018
Thomas & Hirsch,-74.0022847,40.72343124,New York,10012
Thomas Erben Gallery,-74.00429401,40.74989644,New York,10001
Thomson C Art,-73.9643099,40.77400673,New York,10021
Three East Third St Corp,-73.99127036,40.72631717,New York,10003
Throckmorton Fine Arts,-73.9684469,40.76094893,New York,10022
Tilton Jack Gallery,-74.00200058,40.72225087,New York,10013
Time Is Always Now,-74.00165246,40.72303601,New York,10013
Tk Oriental Antiques,-73.97182904,40.76234556,New York,10022
Tobey Fine Art,-73.99703668,40.72443535,New York,10012
Ton Ying & Co,-73.96571788,40.75808113,New York,10022
Tonal Motion Inc,-73.98546139,40.75245457,New York,10018
Tonkonow Leslie,-74.00615109,40.74795822,New York,10011
Tower Art Gallery,-74.00950849,40.70983828,New York,10038
Traditional Art Gallery Inc,-73.96585513,40.75803479,New York,10022
Triangle Editions,-73.96777316,40.76471075,New York,10021
Tribes Gallery,-73.97988408,40.72155551,New York,10009
Triple Candie,-73.95506322,40.81374658,New York,10027
Triton Collection the,-74.00704894,40.75257912,New York,10001
Troubetzkoy Paintings,-73.97777959,40.72422992,New York,10009
Tunick David,-73.96849023,40.76833078,New York,10065
Turkana Gallery,-74.01245255,40.70976778,New York,10006
Ubu Gallery,-73.9612439,40.75904778,New York,10022
Under Minerva,-73.99264059,40.66242445,Brooklyn,11215
Up & Co,-74.00525334,40.71803596,New York,10013
Uptown Gallery the,-73.95834181,40.78195083,New York,10128
Urban Architecture Gallery of Applied Arts Inc,-73.9556829,40.73872,Brooklyn,11222
"Ursus Books & Prints, Ltd.",-73.96314948,40.77455057,New York,10021
Valenzi Gallery & Framing,-73.92609137,40.76975797,Astoria,11102
Van De Weghe Fine Art,-74.00485832,40.74829506,New York,10011
Vance Jordan Fine Art,-73.96412402,40.77407623,New York,10001
Veranda Design,-73.97719259,40.78627113,New York,10024
Verona Arts Ltd,-73.97755224,40.7574937,New York,10017
Viart Corporation,-73.970647,40.76043004,New York,10022
Vick Corporate Art Advisors,-74.00577307,40.74980455,New York,10001
Vieille Russie Inc Antiqs & Jwlry,-73.97253002,40.76431012,New York,10022
Vietnam Art Design,-74.0101257,40.71840386,New York,10013
Viewpoint Gallery,-73.99068945,40.73711799,New York,10003
Vincent Fremont Enterprises,-73.99187771,40.73550087,New York,10003
Viridian Artists Inc,-74.00472764,40.74929138,New York,10001
Visage Studios,-73.98424841,40.75055103,New York,10018
Visual Arts Gallery,-74.00014431,40.7259206,New York,10012
Volpe Organization,-73.98809617,40.77482589,New York,10023
Wada Takashi Gallery,-73.98849961,40.76290655,New York,10019
Wade Maxx Art Gallery,-73.98013755,40.7752092,New York,10023
Wally Findlay Galleries,-73.96978732,40.76088973,New York,10022
Ward-Nasse Gallery,-74.00206949,40.72612435,New York,10012
Washburn Galleries,-73.9754894,40.76329173,New York,10019
Washington Sq Outdoor Art Exhibit Inc,-73.98955957,40.73055351,New York,10003
Webster David,-74.00604994,40.74255494,New York,10011
Weisbrod Chinese Art Ltd,-73.97195658,40.76183606,New York,10022
Wellesley the,-73.96043137,40.76937887,New York,10021
Wessel & O'Connor,-73.99604272,40.74658362,New York,10011
Westbeth Gallery,-74.00892207,40.73681609,New York,10014
Western Art Collectors Society,-74.09740511,40.5952498,Staten Island,10304
Westwood Gallery,-73.99734434,40.72442296,New York,10012
Weybridge Fine Art,-73.96097806,40.77737493,New York,10028
Whas Cultural Art Center Inc,-73.93249803,40.85624733,New York,10040
White Box,-74.00398261,40.75032291,New York,10001
White Columns Inc,-74.00412299,40.73907339,New York,10014
Whitfield James Fine Art,-73.99223345,40.73415172,New York,10003
Wickiser Walter Gallery Inc,-74.00583422,40.74970893,New York,10001
Willow Woodstock Artistic Enterprises,-73.98503774,40.72731799,New York,10009
Wilmer Jenning Gallery,-73.98297564,40.72158811,New York,10009
Winston Wachter Mayer Fine Art,-74.00469934,40.74947055,New York,10001
Winter Works On Paper,-73.95596899,40.71884386,Brooklyn,11211
Wolf Daniel Inc,-73.96208739,40.77515497,New York,10021
Woodward Gallery,-73.99181719,40.71901344,New York,10002
WORLD AFRICA,-73.94753651,40.83514504,New York,10032
World Art Center,-74.00717582,40.71059949,New York,10038
Yancey Richardson Gallery,-74.00606502,40.74799009,New York,10011
Yasuda Fine Arts Inc,-73.9776035,40.76154759,New York,10019
Yorks Shona Gallery,-73.99930952,40.72346095,New York,10012
Yorkville Art Gallery & Framing,-73.94977563,40.78412567,New York,10128
Yoshii Gallery,-73.96353645,40.77472916,New York,10075
Yung Hee Kim,-73.9650305,40.77480195,New York,10021
Zabriskie Gallery,-73.97608678,40.76417706,New York,10019
Zarre Andre Gallery,-74.00694053,40.74665656,New York,10011
Zetterquist Galleries,-73.96909886,40.76855091,New York,10065
Zito Studio Gallery,-73.98835222,40.71959638,New York,10002
Zwirner & Wirth,-73.96656358,40.76947535,New York,10021
Zwirner David Gallery,-74.00696818,40.74589496,New York,10011
Priska C. Juschka Fine Art Inc,-74.00436441,40.7512663,New York,10001
1 2 3 Watts Gallery,-74.00902349,40.72385717,New York,10013
12 Below,-73.99106783,40.73460139,New York,10003
14 Sculptors Gallery,-73.99752291,40.72525532,New York,10012
1405 Art Gallery,-73.95798347,40.76974722,New York,10021
2 Welancora Gallery,-73.94151974,40.6840779,Brooklyn,11221
280 Modern,-73.91448247,40.70924363,Ridgewood,11385
3 Costantino Fioratti Helen C,-73.96468514,40.77217101,New York,10021
303 Gallery,-74.00709988,40.74748973,New York,10011
